TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
235,21051.55569,0.472821554,1.394135218,0.496442836,40.61026072,53.61225606,1.564523436,0,59.56667917
236,21246.44578,0.472063802,1.406683016,0.500410272,40.6672496,53.64932935,2.125815466,0,59.30308249
237,21248.12593,0.47216898,1.397467188,0.497234958,40.97503295,53.68537191,1.250723134,0,59.34851421
238,21340.76916,0.471799927,1.404367975,0.495093168,41.16233281,53.72130335,1.964499843,0,59.24247581
239,21313.63412,0.470976908,1.398641863,0.495244988,41.01532984,53.76058302,2.462681125,0,59.32981929
240,21196.57007,0.470441968,1.384927657,0.499237811,40.85015146,53.79297172,2.455433307,0,59.56854129
241,21005.78087,0.47093858,1.368575906,0.498033719,41.19123731,53.82915451,1.581204428,0,59.93743403
242,20878.73431,0.471192327,1.362598451,0.495950395,40.99726253,53.86186735,1.856919158,0,63.54046952
243,20885.57909,0.470934518,1.369609736,0.492756991,40.92528178,53.88960892,2.337523175,0,63.72884082
244,20932.51146,0.469948426,1.374846262,0.492831458,40.68516386,53.91321184,3.079908718,0,63.85006829
245,21332.052,0.468850297,1.389986889,0.496779634,40.52806929,53.93796081,3.102952991,0,63.38155209
246,21662.16929,0.468602427,1.397097635,0.499324831,40.62811446,53.96775504,2.25206627,0,63.00298561
247,21953.34362,0.468907839,1.402525794,0.498350821,40.59434918,54.01013048,1.695836311,0,62.66809268
248,22261.75166,0.468977023,1.416730862,0.499887168,41.11143612,54.05927827,1.919189053,0,62.28588772
249,22548.68846,0.4692461,1.431206789,0.496257521,41.16359789,54.10943609,1.581813267,0,61.91967278
250,22917.97652,0.468685871,1.456750908,0.49816606,41.24970046,54.15965046,2.400919123,0,61.39806138
251,23241.60655,0.468462348,1.476063913,0.499794242,41.30906579,54.21420507,1.991127395,0,60.92879051
252,23432.34332,0.468576649,1.480825986,0.502368304,41.72759106,54.27158422,1.634058915,0,60.6599417
253,23561.02842,0.469281395,1.484956175,0.505477829,41.79143495,54.33611,1.054739737,0,60.48213972
254,23582.99871,0.470493355,1.481733772,0.511223316,41.93372551,54.40323286,0.340516152,0,60.47367535
255,23517.97515,0.472690252,1.472900334,0.510724738,42.11753772,54.46792192,0,0.985219286,60.60856263
256,23633.6177,0.474437592,1.490034194,0.511357964,42.18301935,54.5329134,0,0.934518304,60.44698302
257,23685.21385,0.475747638,1.493833639,0.513340538,42.05567699,54.59605013,0,1.136296634,60.38457549
258,23754.72361,0.477226445,1.497750594,0.510910525,41.86215752,54.65671106,0,1.645835872,60.28905756
259,23897.18159,0.477918828,1.511770474,0.508493572,42.0575612,54.72664074,0,1.171240986,60.06770518
260,24074.19227,0.477877702,1.527154166,0.509729092,42.36622144,54.79639744,0,0.686225926,59.77973978
261,24170.29441,0.478020937,1.530008017,0.509318113,41.98877335,54.86735854,0,1.011550451,59.61507751
262,24188.9518,0.478121017,1.526241962,0.511392338,42.06457929,54.94373194,0,0.972384629,59.57313277
263,24282.50882,0.478693454,1.537103179,0.51073209,41.92310545,55.02409989,0,1.49137202,59.40536097
264,24230.76645,0.478914545,1.52829664,0.510268455,41.82267073,55.10319322,0,1.405143862,59.47337973
265,24297.65505,0.479137695,1.537802229,0.511461786,41.48858327,55.18045432,0,1.35962078,59.34730803
